NAMEKEY,SALESKEY,ITEMKEY,BALLDATE,BALLDESC,SERIALNO,BALLPRICE,BALLQTY,COLOR,WEIGHT,INSCRIPT,L1GRIP,L1GRIPSIZE,L1HOLESIZE,L1PITCH,L1PITCHF,L1PITCH2,L1PITCHF2,L2GRIP,L2GRIPSIZE,L2HOLESIZE,L2PITCH,L2PITCHF,L2PITCH2,L2PITCHF2,R1GRIP,R1GRIPSIZE,R1HOLESIZE,R1PITCH,R1PITCHF,R1PITCH2,R1PITCHF2,R2GRIP,R2GRIPSIZE,R2HOLESIZE,R2PITCH,R2PITCHF,R2PITCH2,R2PITCHF2,THSLUG,THSLUGSIZE,THHOLESIZE,THPITCH,THPITCHF,THPITCH2,THPITCHF2,BRIDGE,L1CUTTOCUT,L2CUTTOCUT,R1CUTTOCUT,R2CUTTOCUT,L1SPAN,L2SPAN,R1SPAN,R2SPAN,HAXIS,VAXIS,VAXISUORD,STOCKKEY,PININOUT,TOPWEIGHT,BRIDGE1,BRIDGE2,COMMENTS1,COMMENTS2,SIDEWEIGHT,FINGWEIGHT,DRILLING,CGOVER,CGUP,PINOVER,PINUP,OVALANGLE,OVALWIDTH,DRILLTYPE,WHSIZE,WHDEPTH,WHWEIGHT,WHOVER,WHUP,NUMFINGERS,LEFTRIGHT,MACHSETF1,MACHSETF2,MACHSETF3,MACHSETF4,MACHSETTH,OVALANGLEN,OVALWIDTHN,COMMENTS3,SURFTEXTUR,ENDSIDEWH,ENDFINGTH,HAXISLR,MASSBIAS,F1OVALSIZE,F2OVALSIZE,F3OVALSIZE,F4OVALSIZE,ENDWTTOPB,ENDSIDEPM,ENDFTLIT,DIAMTRACK,SALEPERSON,FINISHDATE,DRCOMMENTS,IPSIAWIDTH,OVALCALCUL
10493,0,0,2011-08-30,Black Widow Sting,,0.0,1,Blue/Black,0.0,,None,,,None,None,,,Vise PL,25/32,31/32,Lt,Rev,3/8,3/8,Vise PL,11/16,31/32,Rt,Rev,3/8,3/8,None,,,None,None,,,Vise Urethane S,1 1/4,27/32,Lt,Rev,1/4,1/4,,,,,,,4 9/16,4 11/16,,4 1/2,1/2,Up,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.960,,2000 NO POLISH,,,Right,,,,,,None,None,None,,,,"PLUG THUMB, DROP FILL FINGERS, NEW GRIPS, SLUG",,Ebonite
10494,0,0,2011-08-30,Scout Reactive,0E120047C,0.0,1,Pink/Orange,12.37,,None,,,None,None,,,None,,3/4,Lt,Rev,3/8,1/4,None,,11/16,Rt,Rev,3/8,3/8,None,,,None,None,,,None,,25/32,Lt,Fwrd,1/4,1/8,,,,,,,3 1/8,3 5/16,,,,None,0,0-1,1.5,1/4,,,,0.0,0.0,Label,,,,,,,Conventional,,,,,,2,Right,,,,,,45,.790,,BOX,,,Right,,,,,,None,None,None,,,,BLANK DRILL,,Ebonite
10492,0,0,2011-08-30,Blue Vibe,,0.0,1,,12.0,,None,,,None,None,,,Vise PL,11/16,31/32,Lt,Rev,3/8,1/2,Vise PL,41/64,31/32,Rt,Rev,3/8,5/8,None,,,None,None,,,Vise Urethane S,1 1/4,13/16,Lt,Rev,1/8,1/4,,,,,,,4 7/16+,4 1/2+,,3 5/16,3/4,Up,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.925,,,,,Right,,,,,,None,None,None,,,,"INSTALL THUMB SLUG, NEW FINGER GRIPS

BLUE VIBE  72 X 1 13/16 X 33
",,Ebonite
10495,1163,3012,2011-08-30,DV8 Misfit Orange/Blue,HDG21160,62.0,1,Orange/Blue,15.0,,None,,,None,None,,,Vise Oval,5/8,31/32,Lt,Rev,3/8,1/8,Vise Oval,19/32,31/32,Rt,Rev,3/8,1/8,None,,,None,None,,,None,,55/64,None,None,,,,,,,,,4 7/16,4 9/16,,,,None,1604,2-3,2.3,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,,,,box,,,Right,,,,,,None,None,None,,,,,,IPSIA
10154,1164,3013,2011-08-30,Storm Ice Storm Black,D1A10703,89.95,1,Black/Silver,16.0,,None,,,None,None,,,Vise Power Lift,43/64,31/32,Lt,None,3/8,,Vise Power Lift,39/64,31/32,Rt,None,3/8,,None,,,None,None,,,Vise Urethane S,1 1/8,13/16,Lt,Rev,1/8,1/4,,,,,,,4 3/4,4 7/8,,,,None,1583,0-1,3.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.895,,4000 Abralon box,1/4,1/4,Right,,,,,,None,Plus,Finger,,,,,,Ebonite
10349,0,0,2011-08-31,DV8 Hell Raiser,GDF51165,0.0,1,Red/Yellow/Black,15.18,,None,,,None,None,,,Vise PL,25/32,31/32,Lt,Rev,3/8,3/8,Vise PL,47/64,31/32,Rt,Rev,3/8,3/8,None,,,None,None,,,Vise IT Thumb S,1 3/8,1 7/16,Lt,Rev,1/4,1/4,,,4,4+,,,,,,5,3/4,Up,0,3-4,2.5,1/4,,,,0.0,0.0,57 X 5 1/8 X 38,,,5 1/8,to PAP,,,Finger Tip,,,5/8,,,2,Right,,,,,,,,,box,3/4,1/16,Right,57 degrees,,,,,Bottom,Plus,Finger,,,,"57 X 5 1/8 X 38

15/16 milled to 1.000

",,Ebonite
10020,0,0,2011-08-30,plug fingers only,,0.0,1,,15.0,,None,,,None,None,,,Vise Oval,,31/32,Lt,None,3/8,,Vise Oval,,31/32,Rt,None,3/8,,None,,,None,None,,,Vise Vinyl Slug,1 1/8,13/16,Lt,Rev,1/8,5/8,,,4 7/16,4 1/2,,,,,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.920,,,,,Right,,,,,,None,None,None,,,,,,Ebonite
10496,0,0,2011-08-31,Maxim,,0.0,1,,15.0,,None,,,None,None,,,Vise PL,11/16,31/32,Lt,Fwrd,3/8,1/8,Vise PL,21/32,31/32,Rt,None,3/8,,None,,,None,None,,,Vise Urethane S,1 1/8,7/8,Lt,Rev,1/4,3/8,,,,,,,4 11/16,4 13/16,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,,,,resurfaced 1000 polished,,,Right,,,,,,None,None,None,,,,"PLUG THUMB, DROP FILL FINGERS, GRIPS, SLUG",,IPSIA
10164,0,0,2011-08-31,Storm Victory Road Solid,11TVDF29H002,0.0,1,Hunter Green/Blue,14.12,,None,,,None,None,,,Vise Oval,51/64,31/32,Lt,Rev,3/8,1/4,None,,49/64,Rt,Rev,3/8,3/8,None,,,None,None,,,Vise IT Thumb S,1 3/8,1 7/16,None,Rev,,1/4,,,4 3/16+,3 1/4+,,,4 9/16+,3 1/2,,5 1/8,9/16,Up,0,3-4,3.05,1/4,,,,0.0,0.0,50 X 5 X 20,,,"5""",to PAP,,,Semi-Finger,41/64,3,1/2,2 1/4 >,PAP,2,Right,,,,,,,,,box,3/4,5/8,Right,50 degrees,,,,,Bottom,Plus,Finger,,,,"4 3/8 GRIP TO 1 7/16 HOLE CUT

50 X 5 X 20",,IPSIA
10228,0,0,2011-08-31,Storm Reign Supreme,,0.0,1,,15.0,,None,,,None,None,,,Vise Oval,21/32,31/32,Lt,Rev,3/8,1/4,Vise Oval,5/8,31/32,Rt,Rev,3/8,1/4,None,,,None,None,,,Vise IT Thumb S,,1 7/16,Rt,Fwrd,1/8,1/4,,,3 31/32,4 1/32,,,4 1/2,4 5/8,,5 1/4,1/2,Up,0,N/A,0.0,1/4,,,,0.0,0.0,74 X 4 X 38,,,,to PAP,,,Finger Tip,,,,,,2,Right,,,,,,,,,,,,Right,,,,,,Bottom,Plus,Finger,,,,"Thumb is a 53/64 bit, round thumb hole, no milling

74 X 4 X 38",,IPSIA
